timestamp,spot_price,previous_hedge_position,target_hedge_position,hedge_trade_size,hedge_trade_notional,hedge_fee,side,reason_for_rebalance
28946552,91891.5335,1.376000000000002,1.4407699999999999,0.065,5972.949677500001,2.3891798710000005,buy,threshold
28946553,91921.1,1.441000000000002,1.4669699999999999,0.026000000000000002,2389.9486,0.9559794400000001,buy,threshold
28946554,91993.3328,1.467000000000002,1.51526,0.048,4415.6799744,1.76627198976,buy,threshold
28946555,92085.6539,1.5150000000000021,1.5996000000000001,0.085,7827.280581500001,3.1309122326000005,buy,threshold
28946556,92159.7906,1.600000000000002,1.6697600000000001,0.07,6451.185342,2.5804741368,buy,threshold
28946557,92084.732,1.6700000000000021,1.6002299999999998,-0.07,6445.931240000001,2.5783724960000005,sell,threshold
28946558,92042.752,1.600000000000002,1.5574599999999998,-0.043000000000000003,3957.838336,1.5831353344,sell,threshold
28946559,92108.8544,1.5570000000000022,1.62961,0.073,6723.9463712,2.68957854848,buy,threshold
28946560,92082.1434,1.6300000000000021,1.58954,-0.04,3683.2857360000003,1.4733142944000002,sell,threshold
28946561,91874.8084,1.590000000000002,1.4522499999999998,-0.138,12678.7235592,5.07148942368,sell,threshold
28946562,91847.1558,1.4520000000000022,1.3710200000000001,-0.081,7439.6196198,2.97584784792,sell,threshold
28946563,91738.8912,1.3710000000000022,1.28413,-0.08700000000000001,7981.2835344000005,3.1925134137600004,sell,threshold
28946564,91788.253,1.2840000000000023,1.32545,0.041,3763.318373,1.5053273492,buy,threshold
28946566,92027.2065,1.3250000000000022,1.50921,0.184,16933.005996,6.7732023984000005,buy,threshold
28946567,92091.5118,1.5090000000000021,1.5945899999999997,0.08600000000000001,7919.8700148,3.16794800592,buy,threshold
28946568,92002.9689,1.5950000000000022,1.5254599999999998,-0.07,6440.207823000002,2.5760831292000006,sell,threshold
28946569,92175.6142,1.5250000000000021,1.67802,0.153,14102.8689726,5.64114758904,buy,threshold
28946571,92022.2919,1.6780000000000022,1.5440299999999998,-0.134,12330.9871146,4.93239484584,sell,threshold
28946572,91983.4132,1.5440000000000023,1.4879799999999999,-0.056,5151.0711392,2.0604284556800003,sell,threshold
28946573,92013.2876,1.4880000000000022,1.51736,0.029,2668.3853404,1.06735413616,buy,threshold
28946574,91868.3009,1.5170000000000021,1.37636,-0.14100000000000001,12953.430426900002,5.181372170760001,sell,threshold
28946575,92021.6832,1.376000000000002,1.51863,0.14300000000000002,13159.1006976,5.2636402790400005,buy,threshold
28946576,92073.4917,1.5190000000000021,1.57465,0.056,5156.1155352,2.06244621408,buy,threshold
28946577,92122.4594,1.5750000000000022,1.62118,0.046,4237.6331324,1.6950532529600002,buy,threshold
28946578,92096.0668,1.6210000000000022,1.5882100000000001,-0.033,3039.1702044000003,1.2156680817600003,sell,threshold
28946579,92057.2477,1.5880000000000023,1.54948,-0.039,3590.2326603,1.43609306412,sell,threshold
