entry_time,exit_time,symbol,symbol_id,expiry,dte_entry,strike,spot_entry,spot_exit,delta_entry,gamma_entry,vega_entry,theta_entry,bid_entry,ask_entry,mark_entry,entry_execution_price,exit_execution_price,quantity,side,option_entry_fee,option_exit_fee,option_gross_pnl,option_net_pnl,exit_reason
28943040,28945920,BTC-13JAN25-94000-C,261,1736755200000000.0,2.0,94000.0,94272.1908,93555.8254,0.55692,0.00017,27.55889,-226.01883,0.011,0.0115,0.0113,0.011,0.0,-1.0,sell,0.5184970494,0.0,1036.9940987999998,1036.4756017506,expiry_settlement
28943048,28945920,BTC-13JAN25-95000-C,262,1736755200000000.0,1.9944444444444445,95000.0,94282.1608,93555.8254,0.38393,0.00017,26.62133,-214.90462,0.006,0.0065,0.0063,0.006,0.0,-1.0,sell,0.28284648240000004,0.0,565.6929648,565.4101183176,expiry_settlement
28943094,28945920,BTC-13JAN25-93000-C,260,1736755200000000.0,1.9625,93000.0,94082.365,93555.8254,0.69016,0.00015,24.33558,-207.39641,0.016,0.0175,0.0167,0.016,0.0059411094672465106,-1.0,sell,0.7526589200000001,0.0,949.4924399999986,948.7397810799986,expiry_settlement
28943095,28947360,BTC-14JAN25-93000-C,281,1736841600000000.0,2.9618055555555554,93000.0,94090.7274,94900.1258,0.63107,0.0001,31.98725,-233.33115,0.0205,0.0225,0.0223,0.0205,0.020022373879719287,-1.0,sell,0.9644299558500001,0.0,28.73411170000577,27.76968174415577,expiry_settlement
28944480,28947360,BTC-14JAN25-94000-C,282,1736841600000000.0,2.0,94000.0,94289.8254,94900.1258,0.54754,0.00013,27.64793,-297.08883,0.0135,0.015,0.0144,0.0135,0.009484980050468958,-1.0,sell,0.6364563214500001,0.0,372.7868429000057,372.1503865785557,expiry_settlement
28945922,28947360,BTC-14JAN25-93500-C,313,1736841600000000.0,0.9986111111111111,93500.0,93547.8911,94900.1258,0.51292,0.00016,19.5037,-511.57833,0.0105,0.0115,0.0112,0.0105,0.014753676965094123,-1.0,sell,0.491126428275,0.0,-417.8729434499943,-418.3640698782693,expiry_settlement
28945932,28947360,BTC-14JAN25-92500-C,312,1736841600000000.0,0.9916666666666667,92500.0,93406.1687,94900.1258,0.64341,0.00014,18.14801,-479.68558,0.0155,0.0165,0.0165,0.0155,0.025291070794344454,-1.0,sell,0.723897807425,0.0,-952.3301851499943,-953.0540829574194,expiry_settlement
28945996,28947360,BTC-14JAN25-92000-C,290,1736841600000000.0,0.9472222222222222,92000.0,92924.6561,94900.1258,0.6406,0.00014,17.69334,-502.70955,0.016,0.0175,0.0171,0.016,0.030559767708969617,-1.0,sell,0.7433972487999999,0.0,-1413.3313023999945,-1414.0746996487944,expiry_settlement
28947360,28948800,BTC-15JAN25-95000-C,297,1736928000000000.0,1.0,95000.0,94900.1258,97242.3092,0.49144,0.00014,19.80532,-550.3734,0.0105,0.0115,0.0111,0.0105,0.02305898757904037,-1.0,sell,0.49822566045000005,0.0,-1245.8578791000032,-1246.3561047604533,expiry_settlement
28947361,28948800,BTC-15JAN25-94500-C,359,1736928000000000.0,0.9993055555555556,94500.0,94961.1947,97242.3092,0.57224,0.00014,19.49001,-542.19988,0.0135,0.0145,0.0142,0.0135,0.028200782381255948,-1.0,sell,0.6409880642249999,0.0,-1460.3330715500035,-1460.9740596142285,expiry_settlement
28947365,28948800,BTC-15JAN25-96000-C,298,1736928000000000.0,0.9965277777777778,96000.0,95094.9607,97242.3092,0.37599,0.00014,18.85065,-517.38318,0.0065,0.007,0.0074,0.0065,0.012775397974609217,-1.0,sell,0.309058622275,0.0,-624.1919554500034,-624.5010140722784,expiry_settlement
28947369,28948800,BTC-15JAN25-95500-C,360,1736928000000000.0,0.99375,95500.0,95234.955,97242.3092,0.46577,0.00015,19.74458,-525.50034,0.0095,0.01,0.0097,0.0095,0.017917192776824794,-1.0,sell,0.45236603625,0.0,-837.5771275000034,-838.0294935362534,expiry_settlement
28947377,28948800,BTC-15JAN25-96500-C,361,1736928000000000.0,0.9881944444444445,96500.0,95742.1747,97242.3092,0.39652,0.00014,19.19583,-523.4241,0.0075,0.008,0.0079,0.0075,0.00763360317239364,-1.0,sell,0.359033155125,0.0,-24.242889750003314,-24.601922905128315,expiry_settlement
